timestamp,wind_speed_m_s,wind_direction_deg
00:00,4.7,306
00:10,5.2,310
00:20,5.1,308
00:30,5.0,305
00:40,4.9,302
00:50,4.8,300
01:00,4.7,298
01:10,4.6,296
01:20,4.5,294
01:30,4.4,292
01:40,4.3,290
01:50,4.4,288
02:00,4.5,286
02:10,4.6,284
02:20,4.8,282
02:30,5.0,280
02:40,5.2,278
02:50,5.4,276
03:00,5.6,274
03:10,5.8,272
03:20,6.0,270
03:30,6.1,268
03:40,6.2,266
03:50,6.3,264
04:00,6.4,262
04:10,6.5,260
04:20,6.6,258
04:30,6.7,256
04:40,6.8,254
04:50,6.9,252
05:00,7.0,250
05:10,7.1,248
05:20,7.2,246
05:30,7.0,244
05:40,6.8,242
05:50,6.6,240
06:00,6.4,238
06:10,6.2,236
06:20,6.0,234
06:30,5.8,232
06:40,5.6,230
06:50,5.4,228
07:00,5.2,226
07:10,5.1,224
07:20,5.0,222
07:30,4.9,220
07:40,4.8,218
07:50,4.7,216
08:00,4.6,214
08:10,4.5,212
08:20,4.6,210
08:30,4.7,208
08:40,4.8,206
08:50,4.9,204
09:00,5.0,202
09:10,5.1,200
09:20,5.3,198
09:30,5.5,196
09:40,5.7,194
09:50,5.9,192
10:00,6.1,190
10:10,6.3,188
10:20,6.5,186
10:30,6.7,184
10:40,6.9,182
10:50,7.1,180
11:00,7.3,178
11:10,7.5,176
11:20,7.7,174
11:30,7.9,172
11:40,8.1,170
11:50,8.3,168
12:00,8.5,166
12:10,8.7,164
12:20,8.9,162
12:30,9.1,160
12:40,9.0,158
12:50,8.9,156
13:00,8.8,154
13:10,8.7,152
13:20,8.6,150
13:30,8.5,148
13:40,8.4,146
13:50,8.3,144
14:00,8.2,142
14:10,8.1,140
14:20,8.0,138
14:30,7.9,136
14:40,7.8,134
14:50,7.7,132
15:00,7.6,130
15:10,7.5,128
15:20,7.4,126
15:30,7.3,124
15:40,7.2,122
15:50,7.1,120
16:00,7.0,118
16:10,6.8,116
16:20,6.6,114
16:30,6.4,112
16:40,6.2,110
16:50,6.0,108
17:00,5.8,106
17:10,5.6,104
17:20,5.4,102
17:30,5.2,100
17:40,5.1,98
17:50,5.0,96
18:00,4.9,94
18:10,4.8,92
18:20,4.7,90
18:30,4.6,88
18:40,4.5,86
18:50,4.4,84
19:00,4.3,82
19:10,4.2,80
19:20,4.1,78
19:30,4.0,76
19:40,3.9,74
19:50,3.8,72
20:00,3.7,70
20:10,3.6,68
20:20,3.5,66
20:30,3.4,64
20:40,3.3,62
20:50,3.2,60
21:00,3.1,58
21:10,3.0,56
21:20,2.9,54
21:30,2.8,52
21:40,2.7,50
21:50,2.6,48
22:00,2.5,46
22:10,2.4,44
22:20,2.3,42
22:30,2.2,40
22:40,2.1,38
22:50,2.0,36
23:00,1.9,34
23:10,1.8,32
23:20,1.7,30
23:30,1.6,28
23:40,1.5,26
23:50,1.4,24
